Text,Sentiment
Why and what art thou dreaming here?,Neutral
"Sure thou art come O'er far-off seas,",Neutral
A wonder to these garden trees!,Neutral
"Strange is thy pallor! strange thy dress,",Neutral
"Strange, above all, thy length of tress,",Neutral
And this all solemn silentness!,Neutral
"The lady sleeps! Oh, may her sleep,",Neutral
"Which is enduring, so be deep!",Neutral
Heaven have her in its sacred keep!,Neutral
"This chamber changed for one more holy,",Neutral
"This bed for one more melancholy,",Neutral
I pray to God that she may lie,Neutral
"For ever with unopened eye,",Neutral
While the pale sheeted ghosts go by!,Neutral
"My love, she sleeps! Oh, may her sleep",Neutral
"As it is lasting, so be deep!",Neutral
Soft may the worms about her creep!,Negative
"Far in the forest, dim and old,",Neutral
For her may some tall vault unfold-,Negative
Some vault that oft has flung its black,Negative
"And winged panels fluttering back,",Neutral
"Triumphant, o'er the crested palls,",Neutral
Of her grand family funerals-,Positive
"Some sepulchre, remote, alone,",Neutral
"Against whose portal she hath thrown,",Neutral
"In childhood, many an idle stone-",Neutral
Some tomb from out whose sounding door,Neutral
"She ne'er shall force an echo more,",Neutral
"Thrilling to think, poor child of sin!",Negative
It was the dead who groaned within.,Neutral
"For her this rhyme is penned, whose luminous eyes,",Neutral
"Brightly expressive as the twins of Leda,",Neutral
"Shall find her own sweet name, that, nestling lies",Neutral
"Upon the page, enwrapped from every reader.",Neutral
Search narrowly the lines! -- they hold a treasure,Positive
Divine -- a talisman -- an amulet,Neutral
That must be worn at heart. Search well the measure --,Neutral
The words -- the syllables! Do not forget,Neutral
"The trivialest point, or you may lose your labor!",Positive
And yet there is in this no Gordian knot,Positive
"Which one might not undo without a sabre,",Positive
If one could merely comprehend the plot.,Negative
Enwritten upon the leaf where now are peering,Negative
"Eyes scintillating soul, there lie perdu,",Negative
Three eloquent words oft uttered in the hearing,Positive
"Of poets, by poets -- as the name is a poet's, too.",Positive
"Its letters, although naturally lying",Positive
Like the knight Pinto -- Mendez Ferdinando --,Negative
Still form a synonym for Truth. -- Cease trying!,Positive
"You will not read the riddle, though you do the best you can do.",Positive
